VPX14757-W773_Striptest_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STRIP_TEST
component: 20USBSL0000773
date: 06.06.2019
runNumber: 12
SENSOR_TEST_TT: 11:08:09
SENSOR_TEST_SN: ???
passed: false
problems: false
institution: GL
Full Strip Test - Segment	1
SENSOR_TEST_VB: -150
SENSOR_TEST_FREQ: 1
W-K6440B,
SENSOR_TEST_MU: Keithley 2410
SENSOR_TEST_TEMP: 19.1
SENSOR_TEST_HUMIDITY: 45.6
5: 1280
%%SENSOR_TEST_PPI/% %%SENSOR_TEST_CURRENT/% %%SENSOR_TEST_CAP/% %%SENSOR_TEST_RES/%
0000341.00 0000000.83 0000065.96 0000001.39
0000342.00 0000001.99 0000067.42 0000001.38
0000343.00 0000000.41 0000065.92 0000001.39
0000344.00 0000001.50 0000067.50 0000001.38
0000345.00 0000000.70 0000065.80 0000001.39
0000346.00 0000001.84 0000067.13 0000001.39
0000347.00 0000000.40 0000065.88 0000001.39
0000348.00 0000000.36 0000067.22 0000001.38
0000349.00 0000000.07 0000065.69 0000001.38
0000350.00 0000001.45 0000067.15 0000001.38
0000351.00 0000000.55 0000065.49 0000001.39
0000352.00 0000000.19 0000066.50 0000001.38
0000353.00 0000001.21 0000065.28 0000001.38
0000354.00 0000000.93 0000066.91 0000001.37
0000355.00 0000000.71 0000066.00 0000001.37
0000356.00 0000000.26 0000067.83 0000001.35
0000357.00 0000000.21 0000066.27 0000001.37
0000358.00 0000000.57 0000067.83 0000001.36
0000359.00 0000000.65 0000066.34 0000001.37
0000360.00 0000000.35 0000068.41 0000001.36
0000361.00 0000000.58 0000066.08 0000001.37
0000362.00 0000001.59 0000067.52 0000001.37
0000363.00 0000000.65 0000066.03 0000001.38
0000364.00 0000000.81 0000067.60 0000001.37
0000365.00 0000000.43 0000065.98 0000001.38
0000366.00 0000004.41 0000067.56 0000001.37
0000367.00 0000000.69 0000066.11 0000001.38
0000368.00 0000001.16 0000068.13 0000001.38
0000369.00 0000000.63 0000065.89 0000001.38
0000370.00 0000004.08 0000067.30 0000001.38
0000371.00 0000000.52 0000065.90 0000001.39
0000372.00 0000000.70 0000067.37 0000001.38
0000373.00 0000000.75 0000065.81 0000001.38
0000374.00 0000002.03 0000067.31 0000001.38
0000375.00 0000000.85 0000065.85 0000001.38
0000376.00 0000001.22 0000067.35 0000001.38
0000377.00 0000000.70 0000065.78 0000001.39
0000378.00 0000001.86 0000067.04 0000001.39
0000379.00 0000000.16 0000065.75 0000001.38
0000380.00 0000000.57 0000067.16 0000001.38
0000381.00 0000000.10 0000065.67 0000001.38
0000382.00 0000001.88 0000067.01 0000001.38
0000383.00 0000000.49 0000065.35 0000001.38
0000384.00 0000000.03 0000066.41 0000001.37
0000385.00 0000001.25 0000065.16 0000001.38
0000386.00 0000000.75 0000066.92 0000001.37
0000387.00 0000000.65 0000065.91 0000001.37
0000388.00 0000000.40 0000067.78 0000001.35
0000389.00 0000000.02 0000066.19 0000001.37
0000390.00 0000000.65 0000067.82 0000001.36
0000391.00 0000000.47 0000066.30 0000001.37
0000392.00 0000000.25 0000068.46 0000001.36
0000393.00 0000000.63 0000065.97 0000001.37
0000394.00 0000001.36 0000067.38 0000001.37
0000395.00 0000000.67 0000065.93 0000001.38
0000396.00 0000000.91 0000067.60 0000001.37
0000397.00 0000000.05 0000066.04 0000001.38
0000398.00 0000004.60 0000067.62 0000001.38
0000399.00 0000000.75 0000066.16 0000001.38
0000400.00 0000001.10 0000068.30 0000001.38
0000401.00 0000000.92 0000066.03 0000001.38
0000402.00 0000003.99 0000067.17 0000001.38
0000403.00 0000000.58 0000065.72 0000001.39
0000404.00 0000000.73 0000067.35 0000001.38
0000405.00 0000000.54 0000065.81 0000001.38
0000406.00 0000002.04 0000067.30 0000001.38
0000407.00 0000000.71 0000065.86 0000001.39
0000408.00 0000001.08 0000067.34 0000001.38
0000409.00 0000000.78 0000065.67 0000001.39
0000410.00 0000001.89 0000067.01 0000001.39
0000411.00 0000000.05 0000065.81 0000001.38
0000412.00 0000000.80 0000067.07 0000001.38
0000413.00 0000000.29 0000065.69 0000001.38
0000414.00 0000001.79 0000067.02 0000001.38
0000415.00 0000000.23 0000065.31 0000001.38
0000416.00 0000000.15 0000066.40 0000001.37
0000417.00 0000001.35 0000065.07 0000001.39
0000418.00 0000000.99 0000066.77 0000001.37
0000419.00 0000000.61 0000065.79 0000001.37
0000420.00 0000000.20 0000067.72 0000001.35
0000421.00 0000000.23 0000066.16 0000001.37
0000422.00 0000000.70 0000067.73 0000001.36
0000423.00 0000000.40 0000066.27 0000001.37
0000424.00 0000000.05 0000068.32 0000001.36
0000425.00 0000000.62 0000065.95 0000001.37
0000426.00 0000001.47 0000067.34 0000001.37
0000427.00 0000000.65 0000065.83 0000001.38
